gender,job,region,year,count
남,자영업,서울서부,2007,4721
남,자영업,서울남부,2007,5551
남,자영업,서울동부,2007,5235
남,자영업,부산,2007,6378
남,자영업,대구·경북,2007,3979
남,자영업,인천,2007,2908
남,자영업,울산,2007,1379
남,자영업,경기,2007,3985
남,자영업,강원,2007,1047
남,자영업,충북,2007,1278
남,자영업,대전·세종·충남,2007,2074
남,자영업,전북,2007,2110
남,자영업,광주·전남,2007,3742
남,자영업,경남,2007,1729
남,자영업,제주,2007,838
남,자영업,대한적십자사 외,2007,1484
남,종교직,대한적십자사,2007,5412
남,종교직,서울중앙,2007,529
남,종교직,서울서부,2007,594
남,종교직,서울남부,2007,608
남,종교직,서울동부,2007,529
남,종교직,부산,2007,363
남,종교직,대구·경북,2007,306
남,종교직,인천,2007,345
남,종교직,울산,2007,76
남,종교직,경기,2007,481
남,종교직,강원,2007,102
남,종교직,충북,2007,168
남,종교직,대전·세종·충남,2007,327
남,종교직,전북,2007,310
남,종교직,광주·전남,2007,488
남,종교직,경남,2007,96
남,종교직,제주,2007,90
남,종교직,대한적십자사 외,2007,266
남,가사,대한적십자사,2007,923
남,가사,서울중앙,2007,98
남,가사,서울서부,2007,87
남,가사,서울남부,2007,70
남,가사,서울동부,2007,70
남,가사,부산,2007,182
남,가사,대구·경북,2007,57
남,가사,인천,2007,41
남,가사,울산,2007,32
남,가사,경기,2007,42
남,가사,강원,2007,18
남,가사,충북,2007,32
남,가사,대전·세종·충남,2007,49
남,가사,전북,2007,28
남,가사,광주·전남,2007,66
남,가사,경남,2007,28
남,가사,제주,2007,23
남,가사,대한적십자사 외,2007,30
남,기타,대한적십자사,2007,135688
남,기타,서울중앙,2007,12941
남,기타,서울서부,2007,19302
남,기타,서울남부,2007,13643
남,기타,서울동부,2007,11653
남,기타,부산,2007,17307
남,기타,대구·경북,2007,6616
남,기타,인천,2007,8198
남,기타,울산,2007,4354
남,기타,경기,2007,7221
남,기타,강원,2007,2017
남,기타,충북,2007,3260
남,기타,대전·세종·충남,2007,5856
남,기타,전북,2007,6555
남,기타,광주·전남,2007,11134
남,기타,경남,2007,3071
남,기타,제주,2007,2560
남,기타,대한적십자사 외,2007,4200
여,고등학생,대한적십자사,2007,175437
여,고등학생,서울중앙,2007,13877
여,고등학생,서울서부,2007,12808
여,고등학생,서울남부,2007,8268
